converged SCF energy = -12.7202055423917
RMP2 energy = -0.895838839268667
         255058 function calls (247388 primitive calls) in 0.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.001    0.000    0.009    0.000 __init__.py:357(namedtuple)
      501    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       65    0.000    0.000    0.009    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.009    0.009 __init__.py:220(<module>)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:110(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
       53    0.006    0.000    0.008    0.000 dataset.py:53(make_new_dset)
        1    0.000    0.000    0.008    0.008 misc.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ccompiler.py:1(<module>)
        1    0.000    0.000    0.008    0.008 hf.py:1041(get_hcore)
        1    0.000    0.000    0.008    0.008 hf.py:216(get_hcore)
   345/65    0.002    0.000    0.008    0.000 sre_compile.py:64(_compile)
   163/65    0.000    0.000    0.008    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
   187/69    0.003    0.000    0.008    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.007    0.007 lapack.py:461(<module>)
        1    0.000    0.000    0.007    0.007 decomp_cholesky.py:47(cholesky)
        1    0.007    0.007    0.007    0.007 decomp_cholesky.py:15(_cholesky)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
       13    0.000    0.000    0.007    0.001 hf.py:587(get_fock)
       13    0.000    0.000    0.007    0.001 hf.py:1037(eig)
       13    0.001    0.000    0.007    0.001 hf.py:799(eig)
      885    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      410    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 files.py:12(<module>)
       11    0.000    0.000    0.007    0.001 diis.py:29(update)
        1    0.000    0.000    0.006    0.006 _util.py:1(<module>)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 mole.py:31(M)
        1    0.000    0.000    0.006    0.006 mole.py:1553(build)
      820    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 __init__.py:87(<module>)
     2606    0.001    0.000    0.006    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.006    0.006 dfmp2.py:65(kernel)
        1    0.002    0.002    0.006    0.006 dfmp2.py:25(kernel)
        1    0.000    0.000    0.006    0.006 attrs.py:15(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
       11    0.002    0.000    0.006    0.001 diis.py:183(update)
        2    0.000    0.000    0.005    0.003 __init__.py:19(<module>)
        3    0.000    0.000    0.005    0.002 mole.py:1729(make_env)
        3    0.000    0.000    0.005    0.002 mole.py:550(make_env)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
     1656    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
        1    0.000    0.000    0.005    0.005 group.py:12(<module>)
     6380    0.003    0.000    0.005    0.000 {built-in method builtins.getattr}
      906    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.005    0.005 pyscf_fci.py:3(<module>)
       13    0.005    0.000    0.005    0.000 numpy_helper.py:27(pack_tril)
        1    0.000    0.000    0.005    0.005 uuid.py:45(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        1    0.000    0.000    0.005    0.005 _root.py:7(<module>)
        1    0.000    0.000    0.004    0.004 reduction.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
       26    0.000    0.000    0.004    0.000 numpy_helper.py:419(zdot)
